"words"	"Freq"
"2018"	751
"pubmed"	643
"10"	424
"doi"	401
"j"	354
"pmid"	320
"s"	320
"m"	318
"central"	244
"pmcid"	243
"epub"	178
"c"	174
"y"	172
"h"	158
"k"	152
"l"	151
"r"	147
"d"	134
"t"	130
"e"	110
"n"	106
"cell"	102
"p"	102
"wang"	102
"g"	98
"f"	96
"1016/j"	92
"b"	92
"ecollection"	86
"x"	78
"li"	72
"analysis"	71
"nov"	68
"z"	68
"cancer"	65
"expression"	62
"zhang"	62
"gene"	60
"oct"	60
"may"	58
"transcriptome"	57
"feb"	56
"v"	54
"w"	54
"aug"	53
"chen"	53
"apr"	51
"sep"	50
"jan"	49
"liu"	49
"2017"	48
"de"	48
"cells"	47
"jun"	47
"dec"	46
"mar"	46
"jul"	43
"rna"	42
"res"	41
"genes"	40
"sci"	39
"sequencing"	37
"11"	36
"reveals"	36
"o"	35
"rna-seq"	35
"2019"	34
"biol"	33
"human"	33
"mol"	33
"yang"	33
"am"	31
"front"	31
"ma"	31
"van"	31
"i"	30
"q"	29
"response"	29
"rep"	28
"pii"	27
"development"	25
"huang"	25
"plos"	25
"transcriptomic"	25
"12"	24
"1371/journal"	24
"genomics"	24
"sun"	24
"bmc"	23
"profiling"	23
"single-cell"	23
"sm"	23
"stem"	23
"transcriptional"	23
"zhao"	23
"17"	21
"aj"	21
"jm"	21
"lee"	21
"plant"	21
"15"	20
"16"	20
"during"	20
"erratum"	20
"identifies"	20
"pone"	20
"zhou"	20
"19(1)"	19
"20"	19
"22"	19
"data"	19
"using"	19
"xu"	19
"13"	18
"8(1)"	18
"jc"	18
"kim"	18
"[epub"	17
"27"	17
"ahead"	17
"da"	17
"disease"	17
"dj"	17
"ja"	17
"lu"	17
"nat"	17
"print]"	17
"regulatory"	17
"21"	16
"30"	16
"associated"	16
"commun"	16
"different"	16
"jiang"	16
"jr"	16
"u"	16
"09"	15
"26"	15
"breast"	15
"clin"	15
"genome"	15
"ra"	15
"song"	15
"aa"	14
"analyses"	14
"hu"	14
"int"	14
"jp"	14
"ml"	14
"ms"	14
"novel"	14
"resistance"	14
"through"	14
"wei"	14
"wu"	14
"14"	13
"19"	13
"24"	13
"cm"	13
"la"	13
"lung"	13
"molecular"	13
"muscle"	13
"pj"	13
"regulation"	13
"signaling"	13
"tang"	13
"zhu"	13
"25"	12
"acids"	12
"characterization"	12
"comparative"	12
"dm"	12
"genet"	12
"growth"	12
"je"	12
"jj"	12
"km"	12
"med"	12
"nucleic"	12
"potential"	12
